<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20150512,41.4061,41.7967,41.0155,41.0155,59710
VNM,20150511,41.4061,41.7967,41.0155,41.4061,86210
VNM,20150508,41.4061,41.7967,41.4061,41.4061,72340
VNM,20150507,41.4061,42.1873,41.0155,41.4061,99090
VNM,20150506,41.4061,41.7967,41.0155,41.4061,118270
VNM,20150505,41.4061,41.4061,40.6249,41.4061,212020
VNM,20150504,41.7968,42.1874,41.4062,41.4061,161370
VNM,20150427,42.578,42.578,42.1874,42.1874,75170
VNM,20150424,42.578,42.578,42.1874,42.578,136810
VNM,20150423,42.1874,42.578,42.1874,42.1874,48320
VNM,20150422,42.1874,42.578,41.7968,42.1874,45490
VNM,20150421,42.1874,42.578,41.7968,42.1874,45020
VNM,20150420,42.578,42.578,41.7968,42.1874,131470
VNM,20150417,42.1874,42.578,42.1874,42.1874,60780
VNM,20150416,42.578,42.578,42.1874,42.1874,70620
VNM,20150415,42.9686,42.9686,42.1874,42.578,128590
VNM,20150414,43.3592,43.3592,42.578,42.9686,200810
VNM,20150413,42.9686,43.3593,42.1874,42.9686,275880
VNM,20150410,41.4061,42.578,41.4061,42.1874,232440
VNM,20150409,41.4061,41.7967,41.4061,41.4061,74090
VNM,20150408,41.4061,41.7967,41.4061,41.4061,146070
VNM,20150407,40.6249,41.4061,40.6249,41.4061,115100
VNM,20150406,41.0155,41.4061,40.6249,40.6249,85560
VNM,20150403,41.0155,41.4061,40.6249,41.0155,56560
VNM,20150402,40.6249,41.4061,40.6249,41.4061,97120
VNM,20150401,41.4061,41.4061,40.6249,41.0155,151380
VNM,20150331,41.0155,41.4061,40.6249,41.4061,92160
VNM,20150330,41.4061,41.4061,40.6249,41.0155,71360
VNM,20150327,41.4062,41.7968,41.0156,41.0155,80360
VNM,20150326,41.4062,41.7968,41.0156,41.7968,97830
VNM,20150325,41.7968,41.7968,41.0156,41.7968,91770
VNM,20150324,41.7968,41.7968,41.4062,41.7968,95440
VNM,20150323,41.7968,42.1874,41.4062,41.7968,111710
VNM,20150320,41.7968,42.1874,41.7968,41.7968,81770
VNM,20150319,42.1874,42.578,41.7968,42.1874,116820
VNM,20150318,42.1874,42.578,42.1874,42.578,86590
